NISS|VANETTE|LC|2011|0|2011
NISS|VANETTE|LC|2013|0|2013
NISS|VANETTE|LC|2014|0|2014
NISS|VANETTE|LC|2016|0|2016
NISS|WINGROA|PS|1998|0|1998
NISS|X-TRAIL|LC|2001|10|Oct 2001
NISS|X-TRAIL|LC|2002|0|2002
NISS|X-TRAIL|LC|2003|0|2003
ROVE|MINI|PS|1988|0|1988
ROVE|MINI|PS|1990|0|1990
ROVE|MINI|PS|1994|0|1994
ROVE|MINI|PS|1995|0|1995
ROVE|MINI|PS|1996|0|1996
ROVE|MINI|PS|1998|0|1998
SUBA|FORESTE|LC|1997|0|1997
SUBA|FORESTE|LC|2004|0|2004
SUBA|FORESTE|LC|2007|0|2007
SUBA|IMPREZA|PS|1998|0|1998
SUBA|LEGACY|PS|1989|0|1989
SUBA|LEGACY|PS|1990|0|1990
SUBA|LEGACY|PS|1996|0|1996
SUBA|LEGACY|PS|1997|0|1997
SUBA|LEGACY|PS|1998|0|1998
SUBA|LEGACY|PS|2000|0|2000
SUBA|LEGACY|PS|2001|0|2001
SUBA|LEGACY|PS|2002|0|2002
SUBA|LEGACY|PS|2003|0|2003
SUBA|LEGACY|PS|2004|0|2004
SUBA|LEGACY|PS|2005|0|2005
SUBA|LEGACY|PS|2006|0|2006
SUBA|VORTEX|PS|1987|0|1987
SUBA|XV|PS|2014|0|2014
SUBA|XV|PS|2015|0|2015
SUZU|CAPPUCI|PS|1992|0|1992
SUZU|CAPPUCI|PS|1993|0|1993
SUZU|CAPPUCI|PS|1994|0|1994
SUZU|CAPPUCI|PS|1995|0|1995
SUZU|CAPPUCI|PS|1996|0|1996
SUZU|CAPPUCI|PS|1997|0|1997
SUZU|CARRY|LC|1995|0|1995
SUZU|CARRY|LC|2018|0|2018
SUZU|CARRY|LC|2019|0|2019
SUZU|CERVO M|LC|1990|7|Jul 1990
SUZU|CULTUS|PS|1993|0|1993
SUZU|CULTUS|PS|1994|0|1994
SUZU|CULTUS|PS|1997|0|1997
SUZU|ESCUDO|LC|1989|0|1989
SUZU|SIERRA|LC|1987|0|1987
SUZU|SPACIA|PS|2018|0|2018
SUZU|SPACIA|PS|2019|1|Jan 2019
TOYO|ALPHARD|LC|2002|0|2002
TOYO|ALPHARD|LC|2003|0|2003
TOYO|ALPHARD|LC|2004|0|2004
TOYO|ALPHARD|LC|2005|0|2005
TOYO|ALPHARD|LC|2006|0|2006
TOYO|ALPHARD|LC|2007|0|2007
TOYO|ALPHARD|LC|2008|0|2008
TOYO|ALPHARD|LC|2009|0|2009
TOYO|ALPHARD|LC|2010|0|2010
TOYO|ALPHARD|LC|2011|0|2011
TOYO|ALPHARD|LC|2012|0|2012
TOYO|ALPHARD|LC|2013|0|2013
TOYO|ALPHARD|LC|2014|0|2014
TOYO|ALPHARD|LC|2015|0|2015
TOYO|ALPHARD|LC|2016|0|2016
TOYO|ALPHARD|LC|2017|0|2017
TOYO|ALPHARD|LC|2018|0|2018
TOYO|ALPHARD|LC|2019|0|2019
TOYO|ALPHARD|LC|2020|0|2020
TOYO|ALPHARD|LC|2021|0|2021
TOYO|ARISTO|PS|1991|0|1991
TOYO|ARISTO|PS|1992|0|1992
TOYO|ARISTO|PS|1993|0|1993
TOYO|ARISTO|PS|1994|0|1994
TOYO|ARISTO|PS|1995|0|1995
TOYO|ARISTO|PS|1996|0|1996
TOYO|ARISTO|PS|1997|0|1997
TOYO|ARISTO|PS|1998|0|1998
TOYO|ARISTO|PS|1999|0|1999
TOYO|ARISTO|PS|2000|0|2000
TOYO|ARISTO|PS|2002|0|2002
TOYO|ARISTO|PS|2004|0|2004
TOYO|BB|PS|2003|0|2003
TOYO|BB|PS|2005|0|2005
TOYO|BB|PS|2006|0|2006
TOYO|BB|PS|2007|0|2007
TOYO|BB|PS|2008|0|2008
TOYO|BB|PS|2009|0|2009
TOYO|BB|PS|2015|0|2015
TOYO|CALDINA|PS|1992|0|1992
TOYO|CALDINA|PS|1993|0|1993
TOYO|CALDINA|PS|1994|0|1994
TOYO|CALDINA|PS|1995|0|1995
TOYO|CALDINA|PS|1996|0|1996
TOYO|CALDINA|PS|1997|0|1997
TOYO|CALDINA|PS|1998|0|1998
TOYO|CALDINA|PS|1999|0|1999
TOYO|CALDINA|PS|2000|0|2000
TOYO|CALDINA|PS|2001|0|2001
TOYO|CALDINA|PS|2002|0|2002
TOYO|CALDINA|PS|2002|9|Sep 2002
TOYO|CALDINA|PS|2003|0|2003
TOYO|CALDINA|PS|2004|0|2004
TOYO|CALDINA|PS|2005|0|2005
TOYO|CALDINA|PS|2007|0|2007
TOYO|CARINA|PS|1987|0|1987
TOYO|CARINA|PS|1988|0|1988
TOYO|CARINA|PS|1989|0|1989
TOYO|CARINA|PS|1990|0|1990
TOYO|CAVALIE|PS|1995|0|1995
TOYO|CAVALIE|PS|1996|0|1996
TOYO|CAVALIE|PS|1997|0|1997
TOYO|CELICA|PS|1988|0|1988
